year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1976,NHL,CLE,,0,,80,25,42,13,,63,0.79,,,240,292,1011,12.6,59,298,12,52,237,3,3.65
1976,NHL,COR,,0,,80,20,46,14,,54,0.68,,,226,307,978,12.2,44,274,7,61,247,2.82,3.84
1976,NHL,DET,,0,,80,16,55,9,,41,0.51,,,183,309,1332,16.7,37,294,10,73,317,2.29,3.86
1976,NHL,LAK,QF,1,,80,34,31,15,,83,1.04,,,271,241,1186,14.8,68,253,5,52,284,3.39,3.01
1976,NHL,MNS,PRE,1,,80,23,39,18,,64,0.80,,,240,310,774,9.7,59,339,11,57,211,3,3.88
1976,NHL,MTL,SC,1,,80,60,8,12,,132,1.65,,,387,171,764,9.6,59,237,3,28,231,4.84,2.14
1976,NHL,NYI,SF,1,,80,47,21,12,,106,1.33,,,288,193,1012,12.7,56,240,3,47,278,3.6,2.41
1976,NHL,NYR,,0,,80,29,37,14,,72,0.90,,,272,310,1164,14.6,60,290,16,55,268,3.4,3.88
1976,NHL,PHI,SF,1,,80,48,16,16,,112,1.40,,,323,213,1547,19.3,52,236,3,57,326,4.04,2.66
1976,NHL,PIT,PRE,1,,80,34,33,13,,81,1.01,,,240,252,669,8.4,46,263,6,47,209,3,3.15
1976,NHL,STL,QF,1,,80,32,39,9,,73,0.91,,,239,276,877,11.0,47,249,7,47,259,2.99,3.45
1976,NHL,TOR,QF,1,,80,33,32,15,,81,1.01,,,301,285,1200,15.0,63,281,6,59,284,3.76,3.56
1976,NHL,VAN,,0,,80,25,42,13,,63,0.79,,,235,294,1078,13.5,50,263,7,58,258,2.94,3.68
1976,NHL,WAS,,0,,80,24,42,14,,62,0.78,,,221,307,1231,15.4,39,293,14,62,285,2.76,3.84
1977,NHL,ATF,PRE,1,,80,34,27,19,,87,1.09,,,274,252,984,12.3,43,195,4,51,264,3.42,3.15
1977,NHL,BOS,F,1,,80,51,18,11,,113,1.41,,,333,218,1237,15.5,49,242,2,53,296,4.16,2.72
1977,NHL,BUF,QF,1,,80,44,19,17,,105,1.31,,,288,215,800,10.0,52,234,3,31,218,3.6,2.69
1977,NHL,CHI,QF,1,,80,32,29,19,,83,1.04,,,230,220,1308,16.4,43,205,3,46,295,2.88,2.75
1977,NHL,CLE,,0,,80,22,45,13,,57,0.71,,,230,325,1010,12.6,42,275,8,61,235,2.88,4.06
1977,NHL,COR,PRE,1,,80,19,40,21,,59,0.74,,,257,305,818,10.2,63,279,7,53,237,3.21,3.81
1977,NHL,DET,QF,1,,80,32,34,14,,78,0.98,,,252,266,1534,19.2,59,293,7,64,296,3.15,3.32
1977,NHL,LAK,PRE,1,,80,31,34,15,,77,0.96,,,243,245,903,11.3,50,254,6,46,236,3.04,3.06
1977,NHL,MNS,,0,,80,18,53,9,,45,0.56,,,218,325,1096,13.7,49,328,10,61,218,2.72,4.06
1977,NHL,MTL,SC,1,,80,59,10,11,,129,1.61,,,359,183,745,9.3,73,229,1,40,211,4.49,2.29
1977,NHL,NYI,QF,1,,80,48,17,15,,111,1.39,,,334,210,938,11.7,71,227,6,45,272,4.18,2.62
1977,NHL,NYR,PRE,1,,80,30,37,13,,73,0.91,,,279,280,1057,13.2,78,279,6,48,244,3.49,3.5
1977,NHL,PHI,SF,1,,80,45,20,15,,105,1.31,,,296,200,1668,20.9,51,219,5,66,340,3.7,2.5
1977,NHL,PIT,,0,,80,25,37,18,,68,0.85,,,254,321,1300,16.3,53,261,7,61,251,3.18,4.01
1977,NHL,STL,,0,,80,20,47,13,,53,0.66,,,195,304,845,10.6,44,264,3,52,194,2.44,3.8
1977,NHL,TOR,SF,1,,80,41,29,10,,92,1.15,,,271,237,1258,15.7,57,261,7,55,295,3.39,2.96
1977,NHL,VAN,,0,,80,20,43,17,,57,0.71,,,239,320,962,12.0,60,269,7,65,230,2.99,4
1977,NHL,WAS,,0,,80,17,49,14,,48,0.60,,,195,321,1332,16.7,34,278,15,73,260,2.44,4.01
1978,NHL,ATF,PRE,1,,80,41,31,8,,90,1.13,,,327,280,1158,14.5,54,226,5,56,290,4.09,3.5
1978,NHL,BOS,SF,1,,80,43,23,14,,100,1.25,,,316,270,1222,15.3,59,249,9,72,285,3.95,3.38
1978,NHL,BUF,PRE,1,,80,36,28,16,,88,1.10,,,280,263,1026,12.8,55,267,4,55,258,3.5,3.29
1978,NHL,CHI,QF,1,,80,29,36,15,,73,0.91,,,244,277,1254,15.7,41,247,4,70,297,3.05,3.46
1978,NHL,COR,,0,,80,15,53,12,,42,0.53,,,210,331,838,10.5,60,267,4,62,211,2.62,4.14
1978,NHL,DET,,0,,80,23,41,16,,62,0.78,,,252,295,1359,17.0,78,327,9,63,279,3.15,3.69
1978,NHL,LAK,PRE,1,,80,34,34,12,,80,1.00,,,292,286,1134,14.2,76,318,8,55,245,3.65,3.58
1978,NHL,MNS,,0,,80,28,40,12,,68,0.85,,,257,289,1102,13.8,63,289,9,48,232,3.21,3.61
1978,NHL,MTL,SC,1,,80,52,17,11,,115,1.44,,,337,204,803,10.0,68,240,7,35,213,4.21,2.55
1978,NHL,NYI,SF,1,,80,51,15,14,,116,1.45,,,358,214,1077,13.5,81,260,4,57,287,4.47,2.68
1978,NHL,NYR,F,1,,80,40,29,11,,91,1.14,,,316,292,1214,15.2,75,306,12,78,311,3.95,3.65
1978,NHL,PHI,QF,1,,80,40,25,15,,95,1.19,,,281,248,1548,19.4,59,232,2,73,344,3.51,3.1
1978,NHL,PIT,QF,1,,80,36,31,13,,85,1.06,,,281,279,1039,13.0,56,261,4,57,250,3.51,3.49
1978,NHL,STL,,0,,80,18,50,12,,48,0.60,,,249,348,1055,13.2,48,281,8,63,244,3.11,4.35
1978,NHL,TOR,QF,1,,80,34,33,13,,81,1.01,,,267,252,1440,18.0,60,236,7,70,330,3.34,3.15
1978,NHL,VAN,PRE,1,,80,25,42,13,,63,0.79,,,217,291,1134,14.2,56,295,9,49,248,2.71,3.64
1978,NHL,WAS,,0,,80,24,41,15,,63,0.79,,,273,338,1312,16.4,57,302,12,83,279,3.41,4.22
1979,NHL,ATF,PRE,1,,80,35,32,13,,83,1.04,,,282,269,1048,13.1,51,216,7,52,272,3.52,3.36
1979,NHL,BOS,QF,1,,80,46,21,13,,105,1.31,,,310,234,1460,18.3,60,246,4,53,312,3.88,2.92
1979,NHL,BUF,SF,1,,80,47,17,16,,110,1.38,,,318,201,967,12.1,67,275,4,43,252,3.98,2.51
1979,NHL,CHI,QF,1,,80,34,27,19,,87,1.09,,,241,250,1325,16.6,64,269,9,56,293,3.01,3.12
1979,NHL,COR,,0,,80,19,48,13,,51,0.64,,,234,308,1020,12.8,53,304,3,52,233,2.92,3.85
1979,NHL,DET,,0,,80,26,43,11,,63,0.79,,,268,306,1114,13.9,61,276,2,64,270,3.35,3.82
1979,NHL,EDM,PRE,1,,80,28,39,13,,69,0.86,,,301,322,1528,19.1,61,282,4,74,315,3.76,4.03
1979,NHL,HAR,PRE,1,,80,27,34,19,,73,0.91,,,303,312,875,10.9,42,216,1,64,249,3.79,3.9
1979,NHL,LAK,PRE,1,,80,30,36,14,,74,0.93,,,290,313,1124,14.1,83,311,9,94,291,3.62,3.91
1979,NHL,MNS,SF,1,,80,36,28,16,,88,1.10,,,311,253,1064,13.3,75,316,7,43,240,3.89,3.16
1979,NHL,MTL,QF,1,,80,47,20,13,,107,1.34,,,328,240,874,10.9,77,264,7,46,247,4.1,3
1979,NHL,NYI,SC,1,,80,39,28,13,,91,1.14,,,281,247,1298,16.2,63,265,4,71,317,3.51,3.09
1979,NHL,NYR,QF,1,,80,38,32,10,,86,1.08,,,308,284,1342,16.8,79,304,7,54,304,3.85,3.55
1979,NHL,PHI,F,1,,80,48,12,20,,116,1.45,,,327,254,1844,23.1,44,270,7,79,381,4.09,3.18
1979,NHL,PIT,PRE,1,,80,30,37,13,,73,0.91,,,251,303,1038,13.0,52,262,4,64,247,3.14,3.79
1979,NHL,QUE,,0,,80,25,44,11,,61,0.76,,,248,313,1062,13.3,63,300,9,71,267,3.1,3.91
1979,NHL,STL,PRE,1,,80,34,34,12,,80,1.00,,,266,278,1037,13.0,53,289,4,40,263,3.32,3.48
1979,NHL,TOR,PRE,1,,80,35,40,5,,75,0.94,,,304,327,1158,14.5,68,275,5,69,325,3.8,4.09
1979,NHL,VAN,PRE,1,,80,27,37,16,,70,0.88,,,256,281,1808,22.6,53,312,12,69,282,3.2,3.51
1979,NHL,WAS,,0,,80,27,40,13,,67,0.84,,,261,293,1198,15.0,54,295,4,65,248,3.26,3.66
1979,NHL,WIN,,0,,80,20,49,11,,51,0.64,,,214,314,1251,15.6,63,336,10,63,275,2.68,3.92
1980,NHL,BOS,PRE,1,,80,37,30,13,,87,1.09,,,316,272,1836,23.0,87,342,8,82,358,3.95,3.4
1980,NHL,BUF,QF,1,,80,39,20,21,,99,1.24,,,327,250,1194,14.9,73,310,10,44,268,4.09,3.12
1980,NHL,CAL,SF,1,,80,39,27,14,,92,1.15,,,329,298,1450,18.1,81,301,12,70,364,4.11,3.72
1980,NHL,CHI,PRE,1,,80,31,33,16,,78,0.98,,,304,315,1660,20.8,67,302,9,91,364,3.8,3.94
1980,NHL,COR,,0,,80,22,45,13,,57,0.71,,,258,344,1418,17.7,76,373,8,70,286,3.22,4.3
1980,NHL,DET,,0,,80,19,43,18,,56,0.70,,,252,339,1687,21.1,60,316,12,82,317,3.15,4.24
1980,NHL,EDM,QF,1,,80,29,35,16,,74,0.93,,,328,327,1544,19.3,77,347,7,85,348,4.1,4.09
1980,NHL,HAR,,0,,80,21,41,18,,60,0.75,,,292,372,1584,19.8,60,318,15,80,328,3.65,4.65
1980,NHL,LAK,PRE,1,,80,43,24,13,,99,1.24,,,337,290,1627,20.3,90,366,7,81,356,4.21,3.62
1980,NHL,MNS,F,1,,80,35,28,17,,87,1.09,,,291,263,1624,20.3,88,408,13,64,304,3.64,3.29
1980,NHL,MTL,PRE,1,,80,45,22,13,,103,1.29,,,332,232,1398,17.5,72,299,8,51,279,4.15,2.9
1980,NHL,NYI,SC,1,,80,48,18,14,,110,1.38,,,355,260,1442,18.0,93,317,6,76,368,4.44,3.25
1980,NHL,NYR,SF,1,,80,30,36,14,,74,0.93,,,312,317,1981,24.8,63,351,12,83,392,3.9,3.96
1980,NHL,PHI,QF,1,,80,41,24,15,,97,1.21,,,313,249,2621,32.8,75,278,4,85,432,3.91,3.11
1980,NHL,PIT,PRE,1,,80,30,37,13,,73,0.91,,,302,345,1807,22.6,92,400,11,99,370,3.78,4.31
1980,NHL,QUE,PRE,1,,80,30,32,18,,78,0.98,,,314,318,1524,19.1,81,339,10,79,335,3.92,3.98
1980,NHL,STL,QF,1,,80,45,18,17,,107,1.34,,,352,281,1657,20.7,85,359,12,61,338,4.4,3.51
1980,NHL,TOR,PRE,1,,80,28,37,15,,71,0.89,,,322,367,1830,22.9,85,339,4,93,408,4.03,4.59
1980,NHL,VAN,PRE,1,,80,28,32,20,,76,0.95,,,289,301,1892,23.7,68,330,14,81,340,3.61,3.76
1980,NHL,WAS,,0,,80,26,36,18,,70,0.88,,,286,317,1872,23.4,74,394,14,83,318,3.58,3.96
1980,NHL,WIN,,0,,80,9,57,14,,32,0.40,,,246,400,1191,14.9,60,345,15,67,261,3.08,5
1981,NHL,BOS,DF,1,,80,43,27,10,,96,1.20,,,323,285,1266,15.8,65,289,7,54,291,4.04,3.56
1981,NHL,BUF,DSF,1,,80,39,26,15,,93,1.16,,,307,273,1425,17.8,63,301,10,57,281,3.84,3.41
1981,NHL,CAL,DSF,1,,80,29,34,17,,75,0.94,,,334,345,1331,16.6,78,290,9,72,328,4.18,4.31
1981,NHL,CHI,CF,1,,80,30,38,12,,72,0.90,,,332,363,1775,22.2,78,315,12,93,383,4.15,4.54
1981,NHL,COR,,0,,80,18,49,13,,49,0.61,,,241,362,1138,14.2,46,305,15,63,268,3.01,4.53
1981,NHL,DET,,0,,80,21,47,12,,54,0.68,,,270,351,1250,15.6,43,257,6,75,284,3.38,4.39
1981,NHL,EDM,DSF,1,,80,48,17,15,,111,1.39,,,417,295,1473,18.4,86,341,8,67,371,5.21,3.69
1981,NHL,HAR,,0,,80,21,41,18,,60,0.75,,,264,351,1493,18.7,68,292,7,78,283,3.3,4.39
1981,NHL,LAK,DF,1,,80,24,41,15,,63,0.79,,,314,369,1730,21.6,75,355,11,89,310,3.92,4.61
1981,NHL,MNS,DSF,1,,80,37,23,20,,94,1.18,,,346,288,1358,17.0,89,362,9,49,271,4.32,3.6
1981,NHL,MTL,DSF,1,,80,46,17,17,,109,1.36,,,360,223,1463,18.3,72,297,5,57,286,4.5,2.79
1981,NHL,NYI,SC,1,,80,54,16,10,,118,1.48,,,385,250,1328,16.6,80,284,3,65,332,4.81,3.12
1981,NHL,NYR,DF,1,,80,39,27,14,,92,1.15,,,316,306,1402,17.5,68,306,12,75,319,3.95,3.82
1981,NHL,PHI,DSF,1,,80,38,31,11,,87,1.09,,,325,313,2493,31.2,79,296,5,102,397,4.06,3.91
1981,NHL,PIT,DSF,1,,80,31,36,13,,75,0.94,,,310,337,2212,27.7,99,404,14,92,399,3.88,4.21
1981,NHL,QUE,CF,1,,80,33,31,16,,82,1.03,,,356,345,1757,22.0,83,314,9,71,331,4.45,4.31
1981,NHL,STL,DF,1,,80,32,40,8,,72,0.90,,,315,349,1579,19.7,76,344,13,83,357,3.94,4.36
1981,NHL,TOR,,0,,80,20,44,16,,56,0.70,,,298,380,1888,23.6,58,292,6,99,363,3.72,4.75
1981,NHL,VAN,F,1,,80,30,33,17,,77,0.96,,,290,286,1840,23.0,64,337,10,68,315,3.62,3.58
1981,NHL,WAS,,0,,80,26,41,13,,65,0.81,,,319,338,1932,24.2,93,418,11,67,309,3.99,4.22
1981,NHL,WIN,DSF,1,,80,33,33,14,,80,1.00,,,319,332,1314,16.4,74,328,11,61,249,3.99,4.15
1982,NHL,BOS,CF,1,,80,50,20,10,,110,1.38,,,327,228,1202,15.0,67,302,6,53,275,4.09,2.85
1982,NHL,BUF,DF,1,,80,38,29,13,,89,1.11,,,318,285,1031,12.9,67,311,9,48,274,3.98,3.56
1982,NHL,CAL,DF,1,,80,32,34,14,,78,0.98,,,321,317,1146,14.3,65,273,6,59,258,4.01,3.96
1982,NHL,CHI,CF,1,,80,47,23,10,,104,1.30,,,338,268,1185,14.8,86,316,6,71,304,4.22,3.35
1982,NHL,DET,,0,,80,21,44,15,,57,0.71,,,263,344,1064,13.3,37,268,9,80,292,3.29,4.3
1982,NHL,EDM,F,1,,80,47,21,12,,106,1.33,,,424,315,1771,22.1,86,294,6,89,396,5.3,3.94
1982,NHL,HAR,,0,,80,19,54,7,,45,0.56,,,261,403,1392,17.4,51,264,9,70,293,3.26,5.04
1982,NHL,LAK,,0,,80,27,41,12,,66,0.83,,,308,365,1367,17.1,81,340,14,94,296,3.85,4.56
1982,NHL,MNS,DF,1,,80,40,24,16,,96,1.20,,,321,290,1520,19.0,91,345,20,67,347,4.01,3.62
1982,NHL,MTL,DSF,1,,80,42,24,14,,98,1.23,,,350,286,1116,14.0,64,288,8,68,260,4.38,3.58
1982,NHL,NJD,,0,,80,17,49,14,,48,0.60,,,230,338,1270,15.9,66,302,10,78,294,2.88,4.22
1982,NHL,NYI,SC,1,,80,42,26,12,,96,1.20,,,302,226,1266,15.8,69,267,3,55,331,3.78,2.82
1982,NHL,NYR,DF,1,,80,35,35,10,,80,1.00,,,306,287,1100,13.8,71,317,8,75,312,3.82,3.59
1982,NHL,PHI,DSF,1,,80,49,23,8,,106,1.33,,,326,240,1337,16.7,60,278,7,61,339,4.08,3
1982,NHL,PIT,,0,,80,18,53,9,,45,0.56,,,257,394,1859,23.2,81,358,15,110,396,3.21,4.92
1982,NHL,QUE,DSF,1,,80,34,34,12,,80,1.00,,,343,336,1648,20.6,61,294,6,92,348,4.29,4.2
1982,NHL,STL,DSF,1,,80,25,40,15,,65,0.81,,,285,316,1281,16.0,67,316,12,63,336,3.56,3.95
1982,NHL,TOR,DSF,1,,80,28,40,12,,68,0.85,,,293,330,1481,18.5,79,355,9,83,332,3.66,4.12
1982,NHL,VAN,DSF,1,,80,30,35,15,,75,0.94,,,303,309,1639,20.5,90,333,13,56,292,3.79,3.86
1982,NHL,WAS,DSF,1,,80,39,25,16,,94,1.18,,,306,283,1329,16.6,75,358,11,53,288,3.82,3.54
1982,NHL,WIN,DSF,1,,80,33,39,8,,74,0.93,,,311,333,1089,13.6,78,330,7,67,246,3.89,4.16
1983,NHL,BOS,DSF,1,,80,49,25,6,,104,1.30,,,336,261,1606,20.1,82,342,7,56,336,4.2,3.26
1983,NHL,BUF,DSF,1,,80,48,25,7,,103,1.29,,,315,257,1190,14.9,71,329,14,50,277,3.94,3.21
1983,NHL,CAL,DF,1,,80,34,32,14,,82,1.03,,,311,314,1390,17.4,64,297,10,63,315,3.89,3.92
1983,NHL,CHI,DSF,1,,80,30,42,8,,68,0.85,,,277,311,1358,17.0,67,332,7,74,342,3.46,3.89
1983,NHL,DET,DSF,1,,80,31,42,7,,69,0.86,,,298,323,1546,19.3,79,356,10,77,311,3.72,4.04
1983,NHL,EDM,SC,1,,80,57,18,5,,119,1.49,,,446,314,1577,19.7,81,318,12,77,386,5.58,3.92
1983,NHL,HAR,,0,,80,28,42,10,,66,0.83,,,288,320,1184,14.8,80,329,14,68,301,3.6,4
1983,NHL,LAK,,0,,80,23,44,13,,59,0.74,,,309,376,1265,15.8,75,360,17,82,294,3.86,4.7
1983,NHL,MNS,CF,1,,80,39,31,10,,88,1.10,,,345,344,1696,21.2,91,340,8,89,407,4.31,4.3
1983,NHL,MTL,CF,1,,80,35,40,5,,75,0.94,,,286,295,1371,17.1,58,294,7,56,276,3.58,3.69
1983,NHL,NJD,,0,,80,17,56,7,,41,0.51,,,231,350,1352,16.9,51,363,13,83,336,2.89,4.38
1983,NHL,NYI,F,1,,80,50,26,4,,104,1.30,,,357,269,1157,14.5,63,280,9,66,360,4.46,3.36
1983,NHL,NYR,DSF,1,,80,42,29,9,,93,1.16,,,314,304,1471,18.4,74,295,11,76,347,3.92,3.8
1983,NHL,PHI,DSF,1,,80,44,26,10,,98,1.23,,,350,290,1488,18.6,64,316,9,84,364,4.38,3.62
1983,NHL,PIT,,0,,80,16,58,6,,38,0.48,,,254,390,1695,21.2,70,340,14,86,357,3.18,4.88
1983,NHL,QUE,DF,1,,80,42,28,10,,94,1.18,,,360,278,1600,20.0,69,316,10,70,361,4.5,3.48
1983,NHL,STL,DF,1,,80,32,41,7,,71,0.89,,,293,316,1614,20.2,79,347,16,91,364,3.66,3.95
1983,NHL,TOR,,0,,80,26,45,9,,61,0.76,,,303,387,1682,21.0,82,383,7,101,382,3.79,4.84
1983,NHL,VAN,DSF,1,,80,32,39,9,,73,0.91,,,306,328,1474,18.4,90,369,11,73,312,3.82,4.1
1983,NHL,WAS,DF,1,,80,48,27,5,,101,1.26,,,308,226,1252,15.7,77,382,18,39,293,3.85,2.82
1983,NHL,WIN,DSF,1,,80,31,38,11,,73,0.91,,,340,374,1579,19.7,80,374,18,86,341,4.25,4.68
1984,NHL,BOS,DSF,1,,80,36,34,10,,82,1.03,,,303,287,1825,22.8,69,323,8,67,337,3.79,3.59
1984,NHL,BUF,DSF,1,,80,38,28,14,,90,1.13,,,290,237,1221,15.3,76,322,5,52,295,3.62,2.96
1984,NHL,CAL,DSF,1,,80,41,27,12,,94,1.18,,,363,302,1400,17.5,79,316,21,81,317,4.54,3.78
1984,NHL,CHI,CF,1,,80,38,35,7,,83,1.04,,,309,299,1432,17.9,62,285,5,77,334,3.86,3.74
1984,NHL,DET,DSF,1,,80,27,41,12,,66,0.83,,,313,357,1741,21.8,73,324,15,89,339,3.91,4.46
1984,NHL,EDM,SC,1,,80,49,20,11,,109,1.36,,,401,298,1567,19.6,74,293,5,76,353,5.01,3.72
1984,NHL,HAR,,0,,80,30,41,9,,69,0.86,,,268,318,1606,20.1,73,321,12,62,324,3.35,3.98
1984,NHL,LAK,DSF,1,,80,34,32,14,,82,1.03,,,339,326,1413,17.7,87,370,13,54,291,4.24,4.08
1984,NHL,MNS,DF,1,,80,25,43,12,,62,0.78,,,268,321,1735,21.7,71,335,14,88,358,3.35,4.01
1984,NHL,MTL,DF,1,,80,41,27,12,,94,1.18,,,309,262,1464,18.3,77,325,8,57,279,3.86,3.28
1984,NHL,NJD,,0,,80,22,48,10,,54,0.68,,,264,346,1282,16.0,70,362,15,73,317,3.3,4.32
1984,NHL,NYI,DF,1,,80,40,34,6,,86,1.08,,,345,312,1516,19.0,71,277,7,68,386,4.31,3.9
1984,NHL,NYR,DSF,1,,80,26,44,10,,62,0.78,,,295,345,1301,16.3,72,305,8,64,333,3.69,4.31
1984,NHL,PHI,F,1,,80,53,20,7,,113,1.41,,,348,241,1540,19.3,67,305,6,66,326,4.35,3.01
1984,NHL,PIT,,0,,80,24,51,5,,53,0.66,,,276,385,1493,18.7,62,363,22,74,311,3.45,4.81
1984,NHL,QUE,CF,1,,80,41,30,9,,91,1.14,,,323,275,1643,20.5,64,306,12,66,307,4.04,3.44
1984,NHL,STL,DSF,1,,80,37,31,12,,86,1.08,,,299,288,1301,16.3,66,301,9,73,306,3.74,3.6
1984,NHL,TOR,,0,,80,20,52,8,,48,0.60,,,253,358,1627,20.3,69,352,12,83,324,3.16,4.47
1984,NHL,VAN,,0,,80,25,46,9,,59,0.74,,,284,401,1451,18.1,61,313,14,89,302,3.55,5.01
1984,NHL,WAS,DSF,1,,80,46,25,9,,101,1.26,,,322,240,1161,14.5,79,331,7,68,286,4.03,3
1984,NHL,WIN,DF,1,,80,43,27,10,,96,1.20,,,358,332,1540,19.3,75,315,17,70,319,4.47,4.15
1985,NHL,BOS,DSF,1,,80,37,31,12,,86,1.08,,,311,288,1919,24.0,95,412,5,97,402,3.89,3.6
1985,NHL,BUF,,0,,80,37,37,6,,80,1.00,,,296,291,1608,20.1,72,351,14,66,342,3.7,3.64
1985,NHL,CAL,F,1,,80,40,31,9,,89,1.11,,,354,315,2297,28.7,92,372,11,101,427,4.42,3.94
1985,NHL,CHI,DSF,1,,80,39,33,8,,86,1.08,,,351,349,1537,19.2,85,332,10,85,388,4.39,4.36
1985,NHL,DET,,0,,80,17,57,6,,40,0.50,,,266,415,2393,29.9,79,382,11,111,394,3.32,5.19
1985,NHL,EDM,DF,1,,80,56,17,7,,119,1.49,,,426,310,1928,24.1,78,295,15,77,409,5.32,3.88
1985,NHL,HAR,DF,1,,80,40,36,4,,84,1.05,,,332,302,1759,22.0,83,378,8,72,376,4.15,3.78
1985,NHL,LAK,,0,,80,23,49,8,,54,0.68,,,284,389,2004,25.1,69,393,16,103,364,3.55,4.86
1985,NHL,MNS,DSF,1,,80,38,33,9,,85,1.06,,,327,305,1672,20.9,88,370,12,80,387,4.09,3.81
1985,NHL,MTL,SC,1,,80,40,33,7,,87,1.09,,,330,280,1372,17.2,87,343,8,64,307,4.12,3.5
1985,NHL,NJD,,0,,80,28,49,3,,59,0.74,,,300,374,1424,17.8,70,355,5,103,400,3.75,4.68
1985,NHL,NYI,DSF,1,,80,39,29,12,,90,1.13,,,327,284,1343,16.8,73,332,9,77,369,4.09,3.55
1985,NHL,NYR,CF,1,,80,36,38,6,,78,0.98,,,280,276,1496,18.7,73,362,4,81,365,3.5,3.45
1985,NHL,PHI,DSF,1,,80,53,23,4,,110,1.38,,,335,241,2025,25.3,91,380,9,71,418,4.19,3.01
1985,NHL,PIT,,0,,80,34,38,8,,76,0.95,,,313,305,1538,19.2,93,425,17,78,340,3.91,3.81
1985,NHL,QUE,DSF,1,,80,43,31,6,,92,1.15,,,330,289,1847,23.1,99,423,20,71,379,4.12,3.61
1985,NHL,STL,CF,1,,80,37,34,9,,83,1.04,,,302,291,1478,18.5,78,362,14,74,324,3.78,3.64
1985,NHL,TOR,DF,1,,80,25,48,7,,57,0.71,,,311,386,1716,21.5,67,364,11,83,364,3.89,4.82
1985,NHL,VAN,DSF,1,,80,23,44,13,,59,0.74,,,282,333,1813,22.7,89,419,17,71,328,3.52,4.16
1985,NHL,WAS,DF,1,,80,50,23,7,,107,1.34,,,315,272,1418,17.7,82,360,6,67,348,3.94,3.4
1985,NHL,WIN,DSF,1,,80,26,47,7,,59,0.74,,,295,372,1774,22.2,72,356,14,83,335,3.69,4.65
1986,NHL,BOS,DSF,1,,80,39,34,7,,85,1.06,,,301,276,1870,23.4,65,334,5,60,325,3.76,3.45
1986,NHL,BUF,,0,,80,28,44,8,,64,0.80,,,280,308,1810,22.6,68,364,9,86,355,3.5,3.85
1986,NHL,CAL,DSF,1,,80,46,31,3,,95,1.19,,,318,289,2036,25.5,80,318,14,75,368,3.98,3.61
1986,NHL,CHI,DSF,1,,80,29,37,14,,72,0.90,,,290,310,1692,21.2,55,324,9,81,341,3.62,3.88
1986,NHL,DET,CF,1,,80,34,36,10,,78,0.98,,,260,274,2209,27.6,69,336,7,73,357,3.25,3.42
1986,NHL,EDM,SC,1,,80,50,24,6,,106,1.33,,,372,284,1721,21.5,70,318,8,74,372,4.65,3.55
1986,NHL,HAR,DSF,1,,80,43,30,7,,93,1.16,,,287,270,1496,18.7,73,352,10,71,336,3.59,3.38
1986,NHL,LAK,DSF,1,,80,31,41,8,,70,0.88,,,318,341,2038,25.5,97,389,16,92,346,3.98,4.26
1986,NHL,MNS,,0,,80,30,40,10,,70,0.88,,,296,314,1936,24.2,83,355,18,92,376,3.7,3.92
1986,NHL,MTL,CF,1,,80,41,29,10,,92,1.15,,,277,241,1802,22.5,67,321,6,51,304,3.46,3.01
1986,NHL,NJD,,0,,80,29,45,6,,64,0.80,,,293,368,1735,21.7,82,382,10,95,361,3.66,4.6
1986,NHL,NYI,DF,1,,80,35,33,12,,82,1.03,,,279,281,1857,23.2,84,337,9,83,381,3.49,3.51
1986,NHL,NYR,DSF,1,,80,34,38,8,,76,0.95,,,307,323,1718,21.5,75,375,15,71,379,3.84,4.04
1986,NHL,PHI,F,1,,80,46,26,8,,100,1.25,,,310,245,2082,26.0,68,355,5,71,402,3.88,3.06
1986,NHL,PIT,,0,,80,30,38,12,,72,0.90,,,297,290,1693,21.2,74,378,9,72,318,3.71,3.62
1986,NHL,QUE,DF,1,,80,31,39,10,,72,0.90,,,267,276,1741,21.8,76,354,12,52,311,3.34,3.45
1986,NHL,STL,DSF,1,,80,32,33,15,,79,0.99,,,281,293,1572,19.7,79,324,11,58,303,3.51,3.66
1986,NHL,TOR,DF,1,,80,32,42,6,,70,0.88,,,286,319,1827,22.8,52,303,10,71,323,3.58,3.99
1986,NHL,VAN,,0,,80,29,43,8,,66,0.83,,,282,314,1917,24.0,82,353,11,77,319,3.52,3.92
1986,NHL,WAS,DSF,1,,80,38,32,10,,86,1.08,,,285,278,1720,21.5,65,355,15,58,326,3.56,3.48
1986,NHL,WIN,DF,1,,80,40,32,8,,88,1.10,,,279,271,1537,19.2,52,300,9,53,324,3.49,3.39
1987,NHL,BOS,F,1,,80,44,30,6,,94,1.18,,,300,251,2443,30.5,74,446,10,70,425,3.75,3.14
1987,NHL,BUF,DSF,1,,80,37,32,11,,85,1.06,,,283,305,2277,28.5,80,464,13,96,439,3.54,3.81
1987,NHL,CAL,DF,1,,80,48,23,9,,105,1.31,,,397,305,2431,30.4,109,383,11,94,480,4.96,3.81
1987,NHL,CHI,DSF,1,,80,30,41,9,,69,0.86,,,284,328,2228,27.9,98,426,13,96,484,3.55,4.1
1987,NHL,DET,CF,1,,80,41,28,11,,93,1.16,,,322,269,2391,29.9,72,383,8,73,453,4.03,3.36
