year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1931,NHL,BOS,,0,,48,15,21,12,,42,0.88,,,122,117,372,7.8,,,,,,2.54,2.44
1931,NHL,CHI,QF,1,,48,18,19,11,,47,0.98,,,86,101,469,9.8,,,,,,1.79,2.1
1931,NHL,DTF,QF,1,,48,18,20,10,,46,0.96,,,95,108,419,8.7,,,,,,1.98,2.25
1931,NHL,MTL,SF,1,,48,25,16,7,,57,1.19,,,128,111,448,9.3,,,,,,2.67,2.31
1931,NHL,MTM,SF,1,,48,19,22,7,,45,0.94,,,142,139,593,12.4,,,,,,2.96,2.9
1931,NHL,NYA,,0,,48,16,24,8,,40,0.83,,,95,142,589,12.3,,,,,,1.98,2.96
1931,NHL,NYR,F,1,,48,23,17,8,,54,1.13,,,134,112,511,10.6,,,,,,2.79,2.33
1931,NHL,TOR,SC,1,,48,23,18,7,,53,1.10,,,155,127,625,13.0,,,,,,3.23,2.65
1932,NHL,BOS,SF,1,,48,25,15,8,,58,1.21,,,124,88,517,10.8,,,,,,2.58,1.83
1932,NHL,CHI,,0,,48,16,20,12,,44,0.92,,,88,101,401,8.4,,,,,,1.83,2.1
1932,NHL,DET,SF,1,,48,25,15,8,,58,1.21,,,111,93,462,9.6,,,,,,2.31,1.94
1932,NHL,MTL,QF,1,,48,18,25,5,,41,0.85,,,92,115,482,10.0,,,,,,1.92,2.4
1932,NHL,MTM,QF,1,,48,22,20,6,,50,1.04,,,135,119,442,9.2,,,,,,2.81,2.48
1932,NHL,NYA,,0,,48,15,22,11,,41,0.85,,,91,118,478,10.0,,,,,,1.9,2.46
1932,NHL,NYR,SC,1,,48,23,17,8,,54,1.13,,,135,107,599,12.5,,,,,,2.81,2.23
1932,NHL,OTS,,0,,48,11,27,10,,32,0.67,,,88,131,398,8.3,,,,,,1.83,2.73
1932,NHL,TOR,F,1,,48,24,18,6,,54,1.13,,,119,111,624,13.0,,,,,,2.48,2.31
1933,NHL,BOS,,0,,48,18,25,5,,41,0.85,,,111,130,378,7.9,,,,,,2.31,2.71
1933,NHL,CHI,SC,1,,48,20,17,11,,51,1.06,,,88,83,335,7.0,,,,,,1.83,1.73
1933,NHL,DET,F,1,,48,24,14,10,,58,1.21,,,113,98,368,7.7,,,,,,2.35,2.04
1933,NHL,MTL,QF,1,,48,22,20,6,,50,1.04,,,99,101,308,6.4,,,,,,2.06,2.1
1933,NHL,MTM,SF,1,,48,19,18,11,,49,1.02,,,117,122,414,8.6,,,,,,2.44,2.54
1933,NHL,NYA,,0,,48,15,23,10,,40,0.83,,,104,132,374,7.8,,,,,,2.17,2.75
1933,NHL,NYR,QF,1,,48,21,19,8,,50,1.04,,,120,113,401,8.4,,,,,,2.5,2.35
1933,NHL,OTS,,0,,48,13,29,6,,32,0.67,,,115,143,352,7.3,,,,,,2.4,2.98
1933,NHL,TOR,SF,1,,48,26,13,9,,61,1.27,,,174,119,529,11.0,,,,,,3.62,2.48
1934,NHL,BOS,SF,1,,48,26,16,6,,58,1.21,,,129,112,379,7.9,,,,,,2.69,2.33
1934,NHL,CHI,QF,1,,48,26,17,5,,57,1.19,,,118,88,387,8.1,,,,,,2.46,1.83
1934,NHL,DET,,0,,48,19,22,7,,45,0.94,,,127,114,326,6.8,,,,,,2.65,2.38
1934,NHL,MTL,QF,1,,48,19,23,6,,44,0.92,,,110,145,310,6.5,,,,,,2.29,3.02
1934,NHL,MTM,SC,1,,48,24,19,5,,53,1.10,,,123,92,383,8.0,,,,,,2.56,1.92
1934,NHL,NYA,,0,,48,12,27,9,,33,0.69,,,100,142,250,5.2,,,,,,2.08,2.96
1934,NHL,NYR,SF,1,,48,22,20,6,,50,1.04,,,137,139,341,7.1,,,,,,2.85,2.9
1934,NHL,STE,,0,,48,11,31,6,,28,0.58,,,86,144,402,8.4,,,,,,1.79,3
1934,NHL,TOR,F,1,,48,30,14,4,,64,1.33,,,157,111,444,9.3,,,,,,3.27,2.31
1935,NHL,BOS,QF,1,,48,22,20,6,,50,1.04,,,92,83,399,8.3,,,,,,1.92,1.73
1935,NHL,CHI,QF,1,,48,21,19,8,,50,1.04,,,93,92,409,8.5,,,,,,1.94,1.92
1935,NHL,DET,SC,1,,48,24,16,8,,56,1.17,,,124,103,376,7.8,,,,,,2.58,2.15
1935,NHL,MTL,,0,,48,11,26,11,,33,0.69,,,82,123,317,6.6,,,,,,1.71,2.56
1935,NHL,MTM,SF,1,,48,22,16,10,,54,1.13,,,114,106,504,10.5,,,,,,2.38,2.21
1935,NHL,NYA,SF,1,,48,16,25,7,,39,0.81,,,109,122,392,8.2,,,,,,2.27,2.54
1935,NHL,NYR,,0,,48,19,17,12,,50,1.04,,,91,96,387,8.1,,,,,,1.9,2
1935,NHL,TOR,F,1,,48,23,19,6,,52,1.08,,,126,106,579,12.1,,,,,,2.62,2.21
1936,NHL,BOS,QF,1,,48,23,18,7,,53,1.10,,,120,110,303,6.3,,,,,,2.5,2.29
1936,NHL,CHI,,0,,48,14,27,7,,35,0.73,,,99,131,291,6.1,,,,,,2.06,2.73
1936,NHL,DET,SC,1,,48,25,14,9,,59,1.23,,,128,102,244,5.1,,,,,,2.67,2.12
1936,NHL,MTL,SF,1,,48,24,18,6,,54,1.13,,,115,111,304,6.3,,,,,,2.4,2.31
1936,NHL,MTM,SF,1,,48,22,17,9,,53,1.10,,,126,110,381,7.9,,,,,,2.62,2.29
1936,NHL,NYA,,0,,48,15,29,4,,34,0.71,,,122,161,483,10.1,,,,,,2.54,3.35
1936,NHL,NYR,F,1,,48,19,20,9,,47,0.98,,,117,106,312,6.5,,,,,,2.44,2.21
1936,NHL,TOR,QF,1,,48,22,21,5,,49,1.02,,,119,115,371,7.7,,,,,,2.48,2.4
1937,NHL,BOS,SF,1,,48,30,11,7,,67,1.40,,,142,89,280,5.8,,,,,,2.96,1.85
1937,NHL,CHI,SC,1,,48,14,25,9,,37,0.77,,,97,139,242,5.0,,,,,,2.02,2.9
1937,NHL,DET,,0,,48,12,25,11,,35,0.73,,,99,133,262,5.5,,,,,,2.06,2.77
1937,NHL,MTL,QF,1,,48,18,17,13,,49,1.02,,,123,128,342,7.1,,,,,,2.56,2.67
1937,NHL,MTM,,0,,48,12,30,6,,30,0.63,,,101,149,470,9.8,,,,,,2.1,3.1
1937,NHL,NYA,SF,1,,48,19,18,11,,49,1.02,,,110,111,327,6.8,,,,,,2.29,2.31
1937,NHL,NYR,QF,1,,48,27,15,6,,60,1.25,,,149,96,445,9.3,,,,,,3.1,2
1937,NHL,TOR,F,1,,48,24,15,9,,57,1.19,,,151,127,404,8.4,,,,,,3.15,2.65
1938,NHL,BOS,SC,1,,48,36,10,2,,74,1.54,,,156,76,251,5.2,,,,,,3.25,1.58
