,Year,LeagueID,TeamID,Playoff,MadePlayoff,Unnamed,Games Played,Wins,Losses,Ties,Overtime_Losses,Total_Points,Points_Per_Game,Shootout_Wins,Shootout_Losses,Goals_For,Goals_Against,Penalty_Minutes,Penalty_Minutes_Per_Game,Power_Play_Goals,Power_Play_Chances,Short_handed_Goals_Against,Penalty_Kill_Goals_Allowed,Penalty_Kill_Chances,Goals_For_Per_Game,GoalsAgainstPerGame
115,1934,NHL,BOS,Semi-Finals,1,,48,26,16,6.0,,58,1.21,,,129,112,379,7.9,,,,,,2.69,2.33
116,1934,NHL,CHI,Quarter-Finals,1,,48,26,17,5.0,,57,1.19,,,118,88,387,8.1,,,,,,2.46,1.83
117,1934,NHL,DET,,0,,48,19,22,7.0,,45,0.94,,,127,114,326,6.8,,,,,,2.65,2.38
118,1934,NHL,MTL,Quarter-Finals,1,,48,19,23,6.0,,44,0.92,,,110,145,310,6.5,,,,,,2.29,3.02
119,1934,NHL,MTM,Stanley_Cup,1,,48,24,19,5.0,,53,1.1,,,123,92,383,8.0,,,,,,2.56,1.92
120,1934,NHL,NYA,,0,,48,12,27,9.0,,33,0.69,,,100,142,250,5.2,,,,,,2.08,2.96
121,1934,NHL,NYR,Semi-Finals,1,,48,22,20,6.0,,50,1.04,,,137,139,341,7.1,,,,,,2.85,2.9
122,1934,NHL,STE,,0,,48,11,31,6.0,,28,0.58,,,86,144,402,8.4,,,,,,1.79,3.0
123,1934,NHL,TOR,Finals,1,,48,30,14,4.0,,64,1.33,,,157,111,444,9.3,,,,,,3.27,2.31
124,1935,NHL,BOS,Quarter-Finals,1,,48,22,20,6.0,,50,1.04,,,92,83,399,8.3,,,,,,1.92,1.73
125,1935,NHL,CHI,Quarter-Finals,1,,48,21,19,8.0,,50,1.04,,,93,92,409,8.5,,,,,,1.94,1.92
126,1935,NHL,DET,Stanley_Cup,1,,48,24,16,8.0,,56,1.17,,,124,103,376,7.8,,,,,,2.58,2.15
127,1935,NHL,MTL,,0,,48,11,26,11.0,,33,0.69,,,82,123,317,6.6,,,,,,1.71,2.56
128,1935,NHL,MTM,Semi-Finals,1,,48,22,16,10.0,,54,1.13,,,114,106,504,10.5,,,,,,2.38,2.21
129,1935,NHL,NYA,Semi-Finals,1,,48,16,25,7.0,,39,0.81,,,109,122,392,8.2,,,,,,2.27,2.54
130,1935,NHL,NYR,,0,,48,19,17,12.0,,50,1.04,,,91,96,387,8.1,,,,,,1.9,2.0
131,1935,NHL,TOR,Finals,1,,48,23,19,6.0,,52,1.08,,,126,106,579,12.1,,,,,,2.62,2.21
132,1936,NHL,BOS,Quarter-Finals,1,,48,23,18,7.0,,53,1.1,,,120,110,303,6.3,,,,,,2.5,2.29
133,1936,NHL,CHI,,0,,48,14,27,7.0,,35,0.73,,,99,131,291,6.1,,,,,,2.06,2.73
134,1936,NHL,DET,Stanley_Cup,1,,48,25,14,9.0,,59,1.23,,,128,102,244,5.1,,,,,,2.67,2.12
135,1936,NHL,MTL,Semi-Finals,1,,48,24,18,6.0,,54,1.13,,,115,111,304,6.3,,,,,,2.4,2.31
136,1936,NHL,MTM,Semi-Finals,1,,48,22,17,9.0,,53,1.1,,,126,110,381,7.9,,,,,,2.62,2.29
137,1936,NHL,NYA,,0,,48,15,29,4.0,,34,0.71,,,122,161,483,10.1,,,,,,2.54,3.35
138,1936,NHL,NYR,Finals,1,,48,19,20,9.0,,47,0.98,,,117,106,312,6.5,,,,,,2.44,2.21
139,1936,NHL,TOR,Quarter-Finals,1,,48,22,21,5.0,,49,1.02,,,119,115,371,7.7,,,,,,2.48,2.4
140,1937,NHL,BOS,Semi-Finals,1,,48,30,11,7.0,,67,1.4,,,142,89,280,5.8,,,,,,2.96,1.85
141,1937,NHL,CHI,Stanley_Cup,1,,48,14,25,9.0,,37,0.77,,,97,139,242,5.0,,,,,,2.02,2.9
142,1937,NHL,DET,,0,,48,12,25,11.0,,35,0.73,,,99,133,262,5.5,,,,,,2.06,2.77
143,1937,NHL,MTL,Quarter-Finals,1,,48,18,17,13.0,,49,1.02,,,123,128,342,7.1,,,,,,2.56,2.67
144,1937,NHL,MTM,,0,,48,12,30,6.0,,30,0.63,,,101,149,470,9.8,,,,,,2.1,3.1
145,1937,NHL,NYA,Semi-Finals,1,,48,19,18,11.0,,49,1.02,,,110,111,327,6.8,,,,,,2.29,2.31
146,1937,NHL,NYR,Quarter-Finals,1,,48,27,15,6.0,,60,1.25,,,149,96,445,9.3,,,,,,3.1,2.0
147,1937,NHL,TOR,Finals,1,,48,24,15,9.0,,57,1.19,,,151,127,404,8.4,,,,,,3.15,2.65
