year,lgID,tmID,playoff,made_playoff,made_QF,made_CF,made_F,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm,PPG/gm,PPG_eff,PKG/gm,PK_eff
1997,NHL,OTT,CSF,1,1,0,0,82,34,33,15,,83,1.01,,,193,200,1091,13.3,48,375,9,47,303,2.35,2.44,0.59,0.128,0.57,0.155
1997,NHL,PHI,CQF,1,0,0,0,82,42,29,11,,95,1.16,,,242,193,1766,21.5,71,399,9,51,382,2.95,2.35,0.87,0.178,0.62,0.134
1997,NHL,PHO,CQF,1,0,0,0,82,35,35,12,,82,1.00,,,224,227,1602,19.5,57,384,6,66,408,2.73,2.77,0.70,0.148,0.80,0.162
1997,NHL,PIT,CQF,1,0,0,0,82,40,24,18,,98,1.20,,,228,188,1225,14.9,67,407,16,46,338,2.78,2.29,0.82,0.165,0.56,0.136
1997,NHL,SJS,CQF,1,0,0,0,82,34,38,10,,78,0.95,,,210,216,1417,17.3,54,400,5,59,398,2.56,2.63,0.66,0.135,0.72,0.148
1997,NHL,STL,CSF,1,1,0,0,82,45,29,8,,98,1.20,,,256,204,1414,17.2,62,368,4,49,367,3.12,2.49,0.76,0.168,0.60,0.134
1997,NHL,TBL,,0,0,0,0,82,17,55,10,,44,0.54,,,151,269,1823,22.2,33,353,16,72,410,1.84,3.28,0.40,0.093,0.88,0.176
1997,NHL,TOR,,0,0,0,0,82,30,43,9,,69,0.84,,,194,237,1481,18.1,41,359,13,50,372,2.37,2.89,0.50,0.114,0.61,0.134
1997,NHL,VAN,,0,0,0,0,82,25,43,14,,64,0.78,,,224,273,2166,26.4,48,373,12,77,432,2.73,3.33,0.59,0.129,0.94,0.178
1997,NHL,WAS,F,1,1,1,1,82,40,30,12,,92,1.12,,,219,202,1198,14.6,55,350,4,39,361,2.67,2.46,0.67,0.157,0.48,0.108
1998,NHL,ANA,CQF,1,0,0,0,82,35,34,13,,83,1.01,,,215,206,1323,16.1,83,378,7,60,387,2.62,2.51,1.01,0.220,0.73,0.155
1998,NHL,BOS,CSF,1,1,0,0,82,39,30,13,,91,1.11,,,214,181,1182,14.4,65,368,9,33,305,2.61,2.21,0.79,0.177,0.40,0.108
1998,NHL,BUF,F,1,1,1,1,82,37,28,17,,91,1.11,,,207,175,1561,19.0,49,363,7,55,399,2.52,2.13,0.60,0.135,0.67,0.138
1998,NHL,CAL,,0,0,0,0,82,30,40,12,,72,0.88,,,211,234,1389,16.9,51,357,6,78,386,2.57,2.85,0.62,0.143,0.95,0.202
1998,NHL,CAR,CQF,1,0,0,0,82,34,30,18,,86,1.05,,,210,202,1158,14.1,42,382,6,51,346,2.56,2.46,0.51,0.110,0.62,0.147
1998,NHL,CHI,,0,0,0,0,82,29,41,12,,70,0.85,,,202,248,1807,22.0,50,335,10,80,405,2.46,3.02,0.61,0.149,0.98,0.198
1998,NHL,COL,CF,1,1,1,0,82,44,28,10,,98,1.20,,,239,205,1619,19.7,71,375,12,63,386,2.91,2.5,0.87,0.189,0.77,0.163
1998,NHL,DAL,SC,1,1,1,1,82,51,19,12,,114,1.39,,,236,168,1108,13.5,74,393,4,43,319,2.88,2.05,0.90,0.188,0.52,0.135
1998,NHL,DET,CSF,1,1,0,0,82,43,32,7,,93,1.13,,,245,202,1202,14.7,67,415,7,45,355,2.99,2.46,0.82,0.161,0.55,0.127
1998,NHL,EDM,CQF,1,0,0,0,82,33,37,12,,78,0.95,,,230,226,1373,16.7,63,438,10,67,374,2.8,2.76,0.77,0.144,0.82,0.179
1998,NHL,FLO,,0,0,0,0,82,30,34,18,,78,0.95,,,210,228,1522,18.6,51,380,11,67,370,2.56,2.78,0.62,0.134,0.82,0.181
1998,NHL,LAK,,0,0,0,0,82,32,45,5,,69,0.84,,,189,222,1383,16.9,43,327,11,47,330,2.3,2.71,0.52,0.131,0.57,0.142
1998,NHL,MTL,,0,0,0,0,82,32,39,11,,75,0.91,,,184,209,1299,15.8,50,344,10,44,344,2.24,2.55,0.61,0.145,0.54,0.128
1998,NHL,NAS,,0,0,0,0,82,28,47,7,,63,0.77,,,190,261,1420,17.3,40,324,10,75,357,2.32,3.18,0.49,0.123,0.91,0.210
1998,NHL,NJD,CQF,1,0,0,0,82,47,24,11,,105,1.28,,,248,196,1355,16.5,60,304,5,47,325,3.02,2.39,0.73,0.197,0.57,0.145
1998,NHL,NYI,,0,0,0,0,82,24,48,10,,58,0.71,,,194,244,1111,13.5,54,341,7,60,363,2.37,2.98,0.66,0.158,0.73,0.165
1998,NHL,NYR,,0,0,0,0,82,33,38,11,,77,0.94,,,217,227,1087,13.3,71,348,9,48,336,2.65,2.77,0.87,0.204,0.59,0.143
1998,NHL,OTT,CQF,1,0,0,0,82,44,23,15,,103,1.26,,,239,179,892,10.9,59,397,13,44,317,2.91,2.18,0.72,0.149,0.54,0.139
1998,NHL,PHI,CQF,1,0,0,0,82,37,26,19,,93,1.13,,,231,196,1075,13.1,65,386,7,53,333,2.82,2.39,0.79,0.168,0.65,0.159
1998,NHL,PHO,CQF,1,0,0,0,82,39,31,12,,90,1.10,,,205,197,1412,17.2,41,342,5,45,348,2.5,2.4,0.50,0.120,0.55,0.129
1998,NHL,PIT,CSF,1,1,0,0,82,38,30,14,,90,1.10,,,242,225,977,11.9,65,363,14,56,302,2.95,2.74,0.79,0.179,0.68,0.185
1998,NHL,SJS,CQF,1,0,0,0,82,31,33,18,,80,0.98,,,196,191,1423,17.4,53,399,4,61,407,2.39,2.33,0.65,0.133,0.74,0.150
1998,NHL,STL,CSF,1,1,0,0,82,37,32,13,,87,1.06,,,237,209,1308,16.0,61,301,4,47,387,2.89,2.55,0.74,0.203,0.57,0.121
1998,NHL,TBL,,0,0,0,0,82,19,54,9,,47,0.57,,,179,292,1316,16.0,43,310,10,68,387,2.18,3.56,0.52,0.139,0.83,0.176
1998,NHL,TOR,CF,1,1,1,0,82,45,30,7,,97,1.18,,,268,231,1095,13.4,53,367,6,64,325,3.27,2.82,0.65,0.144,0.78,0.197
1998,NHL,VAN,,0,0,0,0,82,23,47,12,,58,0.71,,,192,258,1764,21.5,57,358,9,77,450,2.34,3.15,0.70,0.159,0.94,0.171
1998,NHL,WAS,,0,0,0,0,82,31,45,6,,68,0.83,,,200,218,1381,16.8,52,301,7,55,353,2.44,2.66,0.63,0.173,0.67,0.156
1999,NHL,ANA,,0,0,0,0,82,34,33,12,3,83,1.01,,,217,227,926,11.3,55,332,8,62,296,2.65,2.77,0.67,0.166,0.76,0.209
1999,NHL,ATL,,0,0,0,0,82,14,57,7,4,39,0.48,,,170,313,1422,17.3,44,348,13,76,386,2.07,3.82,0.54,0.126,0.93,0.197
1999,NHL,BOS,,0,0,0,0,82,24,33,19,6,73,0.89,,,210,248,865,10.5,51,355,4,55,268,2.56,3.02,0.62,0.144,0.67,0.205
1999,NHL,BUF,CQF,1,0,0,0,82,35,32,11,4,85,1.04,,,213,204,1173,14.3,37,351,10,54,361,2.6,2.49,0.45,0.105,0.66,0.150
1999,NHL,CAL,,0,0,0,0,82,31,36,10,5,77,0.94,,,211,256,1267,15.5,59,330,8,74,365,2.57,3.12,0.72,0.179,0.90,0.203
1999,NHL,CAR,,0,0,0,0,82,37,35,10,0,84,1.02,,,217,216,799,9.7,58,342,7,40,253,2.65,2.63,0.71,0.170,0.49,0.158
1999,NHL,CHI,,0,0,0,0,82,33,37,10,2,78,0.95,,,242,245,1444,17.6,52,325,13,58,355,2.95,2.99,0.63,0.160,0.71,0.163
1999,NHL,COL,CF,1,1,1,0,82,42,28,11,1,96,1.17,,,233,201,1118,13.6,59,302,7,52,335,2.84,2.45,0.72,0.195,0.63,0.155
1999,NHL,DAL,F,1,1,1,1,82,43,23,10,6,102,1.24,,,211,184,1029,12.5,54,343,9,33,307,2.57,2.24,0.66,0.157,0.40,0.107
1999,NHL,DET,CSF,1,1,0,0,82,48,22,10,2,108,1.32,,,278,210,1014,12.4,69,338,6,44,311,3.39,2.56,0.84,0.204,0.54,0.141
1999,NHL,EDM,CQF,1,0,0,0,82,32,26,16,8,88,1.07,,,226,212,1344,16.4,53,336,4,54,369,2.76,2.59,0.65,0.158,0.66,0.146
1999,NHL,FLO,CQF,1,0,0,0,82,43,27,6,6,98,1.20,,,244,209,1329,16.2,58,338,8,47,323,2.98,2.55,0.71,0.172,0.57,0.146
1999,NHL,LAK,CQF,1,0,0,0,82,39,27,12,4,94,1.15,,,245,228,1313,16.0,60,356,12,66,373,2.99,2.78,0.73,0.169,0.80,0.177
1999,NHL,MTL,,0,0,0,0,82,35,34,9,4,83,1.01,,,196,194,1067,13.0,54,323,8,40,302,2.39,2.37,0.66,0.167,0.49,0.132
1999,NHL,NAS,,0,0,0,0,82,28,40,7,7,70,0.85,,,199,240,946,11.5,41,304,11,46,309,2.43,2.93,0.50,0.135,0.56,0.149
1999,NHL,NJD,SC,1,1,1,1,82,45,24,8,5,103,1.26,,,251,203,1313,16.0,55,274,9,39,313,3.06,2.48,0.67,0.201,0.48,0.125
1999,NHL,NYI,,0,0,0,0,82,24,48,9,1,58,0.71,,,194,275,1376,16.8,45,319,8,84,419,2.37,3.35,0.55,0.141,1.02,0.200
1999,NHL,NYR,,0,0,0,0,82,29,38,12,3,73,0.89,,,218,246,916,11.2,55,325,9,49,292,2.66,3,0.67,0.169,0.60,0.168
1999,NHL,OTT,CQF,1,0,0,0,82,41,28,11,2,95,1.16,,,244,210,850,10.4,52,310,8,34,273,2.98,2.56,0.63,0.168,0.41,0.125
1999,NHL,PHI,CF,1,1,1,0,82,45,22,12,3,105,1.28,,,237,179,1233,15.0,69,340,7,42,316,2.89,2.18,0.84,0.203,0.51,0.133
1999,NHL,PHO,CQF,1,0,0,0,82,39,31,8,4,90,1.10,,,232,228,940,11.5,37,310,7,43,306,2.83,2.78,0.45,0.119,0.52,0.141
1999,NHL,PIT,CSF,1,1,0,0,82,37,31,8,6,88,1.07,,,241,236,1221,14.9,54,346,11,56,321,2.94,2.88,0.66,0.156,0.68,0.174
1999,NHL,SJS,CSF,1,1,0,0,82,35,30,10,7,87,1.06,,,225,214,1292,15.8,62,377,4,61,372,2.74,2.61,0.76,0.164,0.74,0.164
1999,NHL,STL,CQF,1,0,0,0,82,51,19,11,1,114,1.39,,,248,165,1139,13.9,61,342,3,42,345,3.02,2.01,0.74,0.178,0.51,0.122
1999,NHL,TBL,,0,0,0,0,82,19,47,9,7,54,0.66,,,204,310,1733,21.1,51,365,7,77,399,2.49,3.78,0.62,0.140,0.94,0.193
1999,NHL,TOR,CSF,1,1,0,0,82,45,27,7,3,100,1.22,,,246,222,1103,13.5,57,321,5,58,330,3,2.71,0.70,0.178,0.71,0.176
1999,NHL,VAN,,0,0,0,0,82,30,29,15,8,83,1.01,,,227,237,1047,12.8,51,323,7,63,322,2.77,2.89,0.62,0.158,0.77,0.196
1999,NHL,WAS,CQF,1,0,0,0,82,44,24,12,2,102,1.24,,,227,194,994,12.1,43,286,3,47,340,2.77,2.37,0.52,0.150,0.57,0.138
2000,NHL,ANA,,0,0,0,0,82,25,41,11,5,66,0.80,,,188,245,1136,13.9,66,373,13,71,390,2.29,2.99,0.80,0.177,0.87,0.182
2000,NHL,ATL,,0,0,0,0,82,23,45,12,2,60,0.73,,,211,289,1500,18.3,54,395,8,90,408,2.57,3.52,0.66,0.137,1.10,0.221
2000,NHL,BOS,,0,0,0,0,82,36,30,8,8,88,1.07,,,227,249,1325,16.2,64,390,7,65,377,2.77,3.04,0.78,0.164,0.79,0.172
2000,NHL,BUF,CSF,1,1,0,0,82,46,30,5,1,98,1.20,,,218,184,1249,15.2,60,373,5,40,334,2.66,2.24,0.73,0.161,0.49,0.120
2000,NHL,CAL,,0,0,0,0,82,27,36,15,4,73,0.89,,,197,236,1376,16.8,65,435,11,76,378,2.4,2.88,0.79,0.149,0.93,0.201
2000,NHL,CAR,CQF,1,0,0,0,82,38,32,9,3,88,1.07,,,212,225,1083,13.2,72,382,16,45,351,2.59,2.74,0.88,0.188,0.55,0.128
2000,NHL,CBS,,0,0,0,0,82,28,39,9,6,71,0.87,,,190,233,1234,15.0,56,381,8,70,363,2.32,2.84,0.68,0.147,0.85,0.193
2000,NHL,CHI,,0,0,0,0,82,29,40,8,5,71,0.87,,,210,246,1001,12.2,41,318,12,52,323,2.56,3,0.50,0.129,0.63,0.161
2000,NHL,COL,SC,1,1,1,1,82,52,16,10,4,118,1.44,,,270,192,1138,13.9,80,363,11,59,342,3.29,2.34,0.98,0.220,0.72,0.173
2000,NHL,DAL,CSF,1,1,0,0,82,48,24,8,2,106,1.29,,,241,187,1041,12.7,72,367,7,49,355,2.94,2.28,0.88,0.196,0.60,0.138
2000,NHL,DET,CQF,1,0,0,0,82,49,20,9,4,111,1.35,,,253,202,1082,13.2,85,384,7,55,385,3.09,2.46,1.04,0.221,0.67,0.143
2000,NHL,EDM,CQF,1,0,0,0,82,39,28,12,3,93,1.13,,,243,222,1287,15.7,59,398,4,62,382,2.96,2.71,0.72,0.148,0.76,0.162
2000,NHL,FLO,,0,0,0,0,82,22,38,13,9,66,0.80,,,200,246,1509,18.4,46,353,13,64,398,2.44,3,0.56,0.130,0.78,0.161
2000,NHL,LAK,CSF,1,1,0,0,82,38,28,13,3,92,1.12,,,252,228,1196,14.6,71,367,6,72,382,3.07,2.78,0.87,0.193,0.88,0.188
2000,NHL,MIN,,0,0,0,0,82,25,39,13,5,68,0.83,,,168,210,1200,14.6,36,374,14,57,373,2.05,2.56,0.44,0.096,0.70,0.153
2000,NHL,MTL,,0,0,0,0,82,28,40,8,6,70,0.85,,,206,232,1020,12.4,68,421,3,60,337,2.51,2.83,0.83,0.162,0.73,0.178
